,artist,track,timestamp,artist_id,track_id
3080,Future,712PM,1679697118,1RyvyyTE3xzB2ZywiAwp0i,3FSwpQ9dBZBeBV6UdYHI2R
3081,Smiley,Over The Top (feat. Drake),1679696964,6jeg7JBX9J9097esK752iR,22ruOqBqBRiZDiXFud4OXa
3082,Drake,Jimmy Cooks (feat. 21 Savage),1679696747,3TVXtAsR1Inumwj472S9r4,3F5CgOj3wFlRv51JsHbxhe
3083,Nirvana,Lithium,1679696407,6olE6TJLqED3rqDCT0FyPh,2YodwKJnbPyNKe8XXSE9V7
3084,Fastball,The Way,1679696149,7FtVJzRtpQpU61nBwB7cKN,7IsEXPk6qqt30FfQv4SZMa
3085,Placebo,The Bitter End,1679695958,6RZUqkomCmb8zCRqc9eznB,2yYASbXnAV71CLbNY1HCWf
3086,Moby,Porcelain,1679695718,3OsRAKCvk37zwYcnzRf5XF,5fJAYWoFgXm26HLNViFiUh
3087,Garbage,Only Happy When It Rains - 2015 - Remaster,1679695481,,
3088,Black Sabbath,War Pigs,1679694786,5M52tdBnJaKSvOpJGz8mfZ,2rd9ETlulTbz6BYZcdvIE1
3089,The Kooks,Seaside,1679694686,1GLtl8uqKmnyCWxHmw9tL4,0QCuMBeqdWkwFUTO1WlAjH
3090,The Cranberries,Zombie,1679694380,7t0rwkOPGlDPEhaOcVtOt9,7EZC6E7UjZe63f1jRmkWxt
3091,Luigi Madonna,Midfield,1679693977,16LyZ7r3rzPJqljgvz0fvq,1c7XwzKiHzZ9b5YCNF5Dga
3092,Zonderling,Tunnel Vision - Don Diablo Edit,1679693762,0bMKf3lIYR9GaNTdFKkTOr,7s2fTKrE24gtReCNgnrRBo
3093,Adam Beyer,Your Mind - Radio Edit,1679693475,1btv9qmIpbp7q1ixCYNdHu,2zDCZ8jY4kjuUZbVROHaZj
